method,network,n_nodes,epsilon,seed,total_cost,runtime_s,estimate,ci_lower,ci_upper
baseline,ba,500,0.05,0,77500.0,1.2066175680001834,0.0830909360665828,0.08219505743927831,0.08398681469388729
ana,ba,500,0.05,0,77500.0,0.6567568750001556,0.08392599876970053,0.06539278365923676,0.1024592138801643
baseline,ba,500,0.02,0,77500.0,0.31293753399995694,0.0830909360665828,0.08219505743927831,0.08398681469388729
ana,ba,500,0.02,0,77500.0,0.31311440699982995,0.08392599876970053,0.06539278365923676,0.1024592138801643
baseline,ba,500,0.01,0,77500.0,0.29145338099988294,0.0830909360665828,0.08219505743927831,0.08398681469388729
ana,ba,500,0.01,0,81500.0,0.3137790149999091,0.0831302022561431,0.07157781095031339,0.0946825935619728
baseline,ba,500,0.005,0,77500.0,0.30049496900028316,0.0830909360665828,0.08219505743927831,0.08398681469388729
ana,ba,500,0.005,0,100850.0,0.2945438789997752,0.08315389510244131,0.07709079734551266,0.08921699285936996
baseline,ba,500,0.05,1,77500.0,0.30108548600037466,0.0831584190018475,0.08228230135465156,0.08403453664904345
ana,ba,500,0.05,1,77500.0,0.30005156200013516,0.08371354301925749,0.06497981815149129,0.10244726788702369
baseline,ba,500,0.02,1,77500.0,0.3088696920003713,0.0831584190018475,0.08228230135465156,0.08403453664904345
ana,ba,500,0.02,1,77500.0,0.2986617470000965,0.08371354301925749,0.06497981815149129,0.10244726788702369
baseline,ba,500,0.01,1,77500.0,0.300954236999587,0.0831584190018475,0.08228230135465156,0.08403453664904345
ana,ba,500,0.01,1,81600.0,0.397729354999683,0.08352082630153745,0.0719953904964038,0.09504626210667111
baseline,ba,500,0.005,1,77500.0,0.41410644300003696,0.0831584190018475,0.08228230135465156,0.08403453664904345
ana,ba,500,0.005,1,101350.0,0.4321376830002919,0.08294664730783552,0.07694198002304342,0.08895131459262762
baseline,ba,500,0.05,2,77500.0,0.40850864200001524,0.08233047998510301,0.08150761063662419,0.08315334933358183
ana,ba,500,0.05,2,77500.0,0.5090213070002392,0.08285178174264729,0.06440525148944153,0.10129831199585305
baseline,ba,500,0.02,2,77500.0,0.4042465229999834,0.08233047998510301,0.08150761063662419,0.08315334933358183
ana,ba,500,0.02,2,77500.0,0.29705274900015866,0.08285178174264729,0.06440525148944153,0.10129831199585305
baseline,ba,500,0.01,2,77500.0,0.3249854679997952,0.08233047998510301,0.08150761063662419,0.08315334933358183
ana,ba,500,0.01,2,81450.0,0.3115567969998665,0.08261519600637257,0.07109349881664487,0.09413689319610027
baseline,ba,500,0.005,2,77500.0,0.293711441999676,0.08233047998510301,0.08150761063662419,0.08315334933358183
ana,ba,500,0.005,2,100650.0,0.3253656219999357,0.08299766411073506,0.07691948178737507,0.08907584643409505
baseline,ba,500,0.05,3,77500.0,0.2903486039999734,0.082825803081505,0.08190190102938413,0.08374970513362587
ana,ba,500,0.05,3,77500.0,0.30127991800009113,0.08312019449658692,0.06467195667636375,0.10156843231681009
baseline,ba,500,0.02,3,77500.0,0.3212812199999462,0.082825803081505,0.08190190102938413,0.08374970513362587
ana,ba,500,0.02,3,77500.0,0.32192250000025524,0.08312019449658692,0.06467195667636375,0.10156843231681009
baseline,ba,500,0.01,3,77500.0,0.2984507479995955,0.082825803081505,0.08190190102938413,0.08374970513362587
ana,ba,500,0.01,3,81450.0,0.32597448099977555,0.08333275956101716,0.07174146725209583,0.09492405186993848
baseline,ba,500,0.005,3,77500.0,0.3186368990000119,0.082825803081505,0.08190190102938413,0.08374970513362587
ana,ba,500,0.005,3,100700.0,0.31526530599967373,0.0829306070227176,0.07685259258998774,0.08900862145544745
baseline,ba,500,0.05,4,77500.0,0.29640354899993326,0.08311874815262854,0.0821431030626279,0.08409439324262918
ana,ba,500,0.05,4,77500.0,0.32184447999998156,0.08349398768041283,0.06499167883738571,0.10199629652343994
baseline,ba,500,0.02,4,77500.0,0.29181273699987287,0.08311874815262854,0.0821431030626279,0.08409439324262918
ana,ba,500,0.02,4,77500.0,0.2925171209999462,0.08349398768041283,0.06499167883738571,0.10199629652343994
baseline,ba,500,0.01,4,77500.0,0.3381272110000282,0.08311874815262854,0.0821431030626279,0.08409439324262918
ana,ba,500,0.01,4,81450.0,0.3303349409998191,0.0831440786132589,0.07153557631098734,0.09475258091553046
baseline,ba,500,0.005,4,77500.0,0.2885914920002506,0.08311874815262854,0.0821431030626279,0.08409439324262918
ana,ba,500,0.005,4,100800.0,0.3287058710002384,0.08289566880557686,0.07684160276094965,0.08894973485020408
