config,seed,gamma_C,gamma_V,gamma_S,total_cost,runtime_s,estimate,ci_lower,ci_upper,ci_width
baseline_giles,0,nan,nan,nan,77500.0,1.2861252910000047,0.08304784260690212,0.08174767905747919,0.08434800615632505,0.0026003270988458616
centrality_only,0,1.0,0.0,0.0,100600.0,0.6941048460000019,0.08317175309639424,0.07708580254713422,0.08925770364565426,0.012171901098520038
variance_only,0,0.0,1.0,0.0,101750.0,0.3423154210000092,0.08313547703437507,0.07716338447908938,0.08910756958966076,0.011944185110571381
sla_only,0,0.0,0.0,1.0,100600.0,0.390330622999997,0.08304282929748297,0.07696657670771273,0.0891190818872532,0.012152505179540474
default_mix,0,0.4,0.4,0.2,101050.0,0.3405867670000049,0.08313201379496604,0.07709195311113946,0.08917207447879262,0.012080121367653157
balanced_mix,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,101000.0,0.3313079590000001,0.08308723662048578,0.07704525066551664,0.08912922257545493,0.01208397190993829
baseline_giles,1,nan,nan,nan,77500.0,0.33707884900000806,0.08357190166134387,0.08235700704254886,0.08478679628013888,0.0024297892375900187
centrality_only,1,1.0,0.0,0.0,100900.0,0.332910530999996,0.0830855822423473,0.07702912113201424,0.08914204335268036,0.012112922220666122
variance_only,1,0.0,1.0,0.0,102250.0,0.5115271129999996,0.08295545203145593,0.07702989688374345,0.08888100717916841,0.01185111029542496
sla_only,1,0.0,0.0,1.0,101100.0,0.46777372400001127,0.08292039996013045,0.07689275790341506,0.08894804201684585,0.012055284113430792
default_mix,1,0.4,0.4,0.2,101500.0,0.45013629799998967,0.08302086335606873,0.07702597053577495,0.08901575617636251,0.011989785640587558
balanced_mix,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,101450.0,0.5584115739999902,0.08299717819318175,0.07699803306102955,0.08899632332533396,0.011998290264304406
baseline_giles,2,nan,nan,nan,77500.0,0.45512418899998863,0.08232015662360936,0.08123862028495094,0.08340169296226779,0.0021630726773168574
centrality_only,2,1.0,0.0,0.0,100100.0,0.35396414800000287,0.08295572455972433,0.0768366402061114,0.08907480891333726,0.012238168707225855
variance_only,2,0.0,1.0,0.0,101050.0,0.339393900999994,0.08305855188518763,0.07703174408693847,0.08908535968343678,0.012053615596498313
sla_only,2,0.0,0.0,1.0,100050.0,0.3387844169999994,0.08309560117777437,0.07696703041565911,0.08922417193988963,0.01225714152423052
default_mix,2,0.4,0.4,0.2,100450.0,0.35154743299999325,0.08302198466844857,0.07693517490336267,0.08910879443353446,0.012173619530171792
balanced_mix,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,100400.0,0.3487310610000094,0.0830311025492847,0.07693789253565306,0.08912431256291634,0.012186420027263278
