config,seed,total_cost,n_finest_paths,median_per_node_ci,mean_per_node_ci,elapsed_s
baseline_giles,0,77500.0,50,0.018137676641345024,0.018116328865289688,1.7964515409548767
centrality_only,0,100600.0,512,0.005693716928362846,0.005706295371055603,0.5440487919840962
variance_only,0,101400.0,528,0.005611523054540157,0.00560506246984005,0.525865082978271
sla_only,0,100350.0,507,0.005718055181205273,0.005715620703995228,0.5263257499900647
default_mix,0,100900.0,518,0.00567232258617878,0.005669375881552696,0.5269940830185078
baseline_giles,1,77500.0,50,0.018260475248098373,0.01835138350725174,0.3669646669877693
centrality_only,1,101050.0,521,0.005669354926794767,0.005679470952600241,0.526710458972957
variance_only,1,102050.0,541,0.005539820063859224,0.005546661093831062,0.5357427920098417
sla_only,1,101050.0,521,0.005669354926794767,0.005679470952600241,0.5314281659666449
default_mix,1,101450.0,529,0.005601304583251476,0.005606865976005793,0.5342061660485342
baseline_giles,2,77500.0,50,0.017933357506990433,0.018013766035437584,0.3689223330002278
centrality_only,2,100450.0,509,0.005716659128665924,0.00572955934330821,0.5263757909997366
variance_only,2,102200.0,544,0.005555507726967335,0.00554933724924922,0.5386870000511408
sla_only,2,101100.0,522,0.005653287749737501,0.005655985791236162,0.5312909579952247
default_mix,2,101250.0,525,0.005650361068546772,0.005649929866194725,0.5335678749834187
