rho,seed,p95_queue,p99_queue,mean_queue
0.5,1,2.0,3.0,0.5988605898123325
0.5,2,2.0,3.0,0.6321416638823922
0.5,3,3.0,5.0,0.8601070950468541
0.5,4,3.0,3.0,0.8018078339471041
0.5,5,3.0,4.0,0.7846153846153846
0.5,6,2.0,3.0,0.6666666666666666
0.5,7,2.0,3.0,0.7587719298245614
0.5,8,2.0,3.0,0.6539235412474849
0.5,9,2.0,3.0,0.7046441697293685
0.5,10,3.0,4.0,0.73386827148111
0.7,1,3.0,5.0,1.1059846205282515
0.7,2,4.0,5.0,1.3218970736629667
0.7,3,5.0,7.0,1.8592443998662656
0.7,4,7.0,9.0,1.9852990310725025
0.7,5,5.0,6.0,1.6210350584307178
0.7,6,4.0,5.0,1.3525683789192795
0.7,7,5.0,7.0,1.5151919866444072
0.7,8,6.0,7.0,2.2064021340446818
0.7,9,4.0,5.0,1.268972464741437
0.7,10,4.0,5.0,1.4294764921640546
0.8,1,7.0,9.0,2.16844563042028
0.8,2,4.0,5.0,1.568994320080187
0.8,3,7.0,9.0,2.728638184245661
0.8,4,4.0,5.0,1.3917250583917251
0.8,5,8.0,9.0,3.3657639585422934
0.8,6,8.0,10.0,2.3865153538050734
0.8,7,8.0,10.0,2.9649532710280373
0.8,8,5.0,9.0,1.782303839732888
0.8,9,9.0,12.0,3.9435160427807485
0.8,10,5.0,7.0,1.8381812102975594
0.9,1,9.0,11.0,2.862529195862529
0.9,2,23.0,26.0,5.241068447412354
0.9,3,8.0,10.0,3.369158878504673
0.9,4,19.0,20.0,12.792723631508679
0.9,5,11.0,13.0,3.993989983305509
0.9,6,10.0,11.0,4.706902300766922
0.9,7,8.0,9.0,3.0233488992661774
0.9,8,15.0,16.0,6.35657104736491
0.9,9,8.0,11.0,3.83155436957972
0.9,10,18.0,20.0,7.565899232565899
