# git_sha=7dc3a6db9d5c97237c2d99205e7fb32f2b0c47b7
# device=cuda (Tesla T4)
# torch=2.11.0+cu128 python=3.12.13
# config={"T": 1.0, "attempt_all_reduce": true, "base_dt": 0.1, "memory_safety_cap_gb": 2.0, "n_samples_base": 256, "quick": false, "repeats": 3, "sample_autoscale": true, "seeds": [0, 1, 2], "sizes": [500, 5000]}
# MEASURED on a real GPU; occupancy needs Nsight Compute (see json).
n_nodes,seed,phase,self_time_s,pct_of_traced_total,calls
500,0,rng,0.0003468399999999983,5.229556796418477,20
500,0,step_dispatch,0.004312382,65.02089319816865,20
500,0,matmul_drift,0.0018330490000000004,27.63820163798334,40
500,0,reflection,9.577499999999691e-05,1.4440687411399085,40
500,0,mlmc_bookkeeping,4.42559999999994e-05,0.6672796262896267,2
500,0,all_reduce,0.0009555560000080732,,5
500,1,rng,0.00031954299999999923,4.790823606421501,20
500,1,step_dispatch,0.0043810829999999966,65.68441761544445,20
500,1,matmul_drift,0.0018145829999999996,27.205562544669,40
500,1,reflection,9.50089999999982e-05,1.4244447852792672,40
500,1,mlmc_bookkeeping,5.967900000000009e-05,0.8947514481857837,2
500,1,all_reduce,0.00097489699999187,,5
500,2,rng,0.00032325800000000026,4.972425066678075,20
500,2,step_dispatch,0.004229412,65.05773792484342,20
500,2,matmul_drift,0.0018109699999999999,27.85673555798151,40
500,2,reflection,9.455799999999863e-05,1.4545117814715747,40
500,2,mlmc_bookkeeping,4.281499999999869e-05,0.6585896690254073,2
500,2,all_reduce,0.0008450260000358867,,5
5000,0,rng,0.00014924500000000125,0.3771067963314054,20
5000,0,step_dispatch,0.020005629,50.549490172431874,20
5000,0,matmul_drift,0.019319722000000004,48.8163655025851,40
5000,0,reflection,7.315100000000394e-05,0.1848352658946021,40
5000,0,mlmc_bookkeeping,2.857500000000073e-05,0.07220226275701093,2
5000,0,all_reduce,0.0008995570000251973,,5
5000,1,rng,0.0001383030000000042,0.3494570533040932,20
5000,1,step_dispatch,0.019995827000000004,50.52444836191706,20
5000,1,matmul_drift,0.019337928000000004,48.862102310770645,40
5000,1,reflection,7.308799999999882e-05,0.18467507654850854,40
5000,1,mlmc_bookkeeping,3.139099999999962e-05,0.07931719745969591,2
5000,1,all_reduce,0.000874877999990531,,5
5000,2,rng,0.0001386859999999956,0.3503029517101591,20
5000,2,step_dispatch,0.020006471999999994,50.53376833210902,20
5000,2,matmul_drift,0.019348121999999995,48.870861129807494,40
5000,2,reflection,7.299199999998927e-05,0.18436837929729744,40
5000,2,mlmc_bookkeeping,2.403099999999904e-05,0.06069920707603338,2
5000,2,all_reduce,0.0008992799999987255,,5
