B,method,seed,estimate,work,degenerate,ess,wall_s,ref
10.0,plain_mc,0,0.02692,10000000,False,50000.0,0.058025957998324884,0.028399003017115926
10.0,plain_mc,1,0.0296,10000000,False,50000.0,0.058305958002165426,0.028399003017115926
10.0,plain_mc,2,0.02924,10000000,False,50000.0,0.0581821250016219,0.028399003017115926
10.0,plain_mc,3,0.02804,10000000,False,50000.0,0.058299416003137594,0.028399003017115926
10.0,plain_mc,4,0.0278,10000000,False,50000.0,0.058193250002659624,0.028399003017115926
10.0,plain_mc,5,0.02862,10000000,False,50000.0,0.05832350000127917,0.028399003017115926
10.0,plain_mc,6,0.0286,10000000,False,50000.0,0.05818291700052214,0.028399003017115926
10.0,plain_mc,7,0.028,10000000,False,50000.0,0.05869870800233912,0.028399003017115926
10.0,plain_mc,8,0.02696,10000000,False,50000.0,0.05778866699984064,0.028399003017115926
10.0,plain_mc,9,0.0292,10000000,False,50000.0,0.05822208400059026,0.028399003017115926
10.0,gpu_mlmc_is,0,0.03134801712541485,10000000,False,814.4283537255264,0.7865498749997641,0.028399003017115926
10.0,gpu_mlmc_is,1,0.0275997281549347,10000000,False,316.4406627006672,0.12238387500110548,0.028399003017115926
10.0,gpu_mlmc_is,2,0.027996754789068972,10000000,False,222.2398045553215,0.12448612500156742,0.028399003017115926
10.0,gpu_mlmc_is,3,0.029862151438501707,10000000,False,671.763804354578,0.1239104580017738,0.028399003017115926
10.0,gpu_mlmc_is,4,0.027984863863632168,10000000,False,431.7474860960107,0.12273075000121025,0.028399003017115926
10.0,gpu_mlmc_is,5,0.03006813495352345,10000000,False,439.3220034553028,0.12152029199933168,0.028399003017115926
10.0,gpu_mlmc_is,6,0.026658158648884156,10000000,False,379.7052844755848,0.1234171249998326,0.028399003017115926
10.0,gpu_mlmc_is,7,0.026746049437211185,10000000,False,380.668672791777,0.12361870899985661,0.028399003017115926
10.0,gpu_mlmc_is,8,0.0294454928068401,10000000,False,567.7437039498903,0.12318824999965727,0.028399003017115926
10.0,gpu_mlmc_is,9,0.033111995138085375,10000000,False,1093.3982813412522,0.1226323750015581,0.028399003017115926
10.0,ams,0,0.0281625,879476,False,2500.0,0.022023624998837477,0.028399003017115926
10.0,ams,1,0.0279125,889001,False,2500.0,0.019951375001255656,0.028399003017115926
10.0,ams,2,0.0274375,863764,False,2500.0,0.021132082998519763,0.028399003017115926
10.0,ams,3,0.02725,879178,False,2500.0,0.020822832997509977,0.028399003017115926
10.0,ams,4,0.0267125,880311,False,2500.0,0.020599250001396285,0.028399003017115926
10.0,ams,5,0.0275375,881383,False,2500.0,0.020097542001167312,0.028399003017115926
10.0,ams,6,0.0290875,872884,False,2500.0,0.019889999999577412,0.028399003017115926
10.0,ams,7,0.0281625,880426,False,2500.0,0.019697291998454602,0.028399003017115926
10.0,ams,8,0.02675,870469,False,2500.0,0.019898165999620687,0.028399003017115926
10.0,ams,9,0.028875,880253,False,2500.0,0.019358416997420136,0.028399003017115926
10.0,cross_entropy,0,0.027500801085727188,15000000,False,1179.644174240929,0.09711595799672068,0.028399003017115926
10.0,cross_entropy,1,0.027126460674759666,15000000,False,847.1494653288646,0.10035941699970863,0.028399003017115926
10.0,cross_entropy,2,0.02876345464410566,15000000,False,1405.2678904918585,0.10043420799775049,0.028399003017115926
10.0,cross_entropy,3,0.027115709962924082,15000000,False,765.4659644228824,0.10386525000285474,0.028399003017115926
10.0,cross_entropy,4,0.028153202417632625,15000000,False,976.1569863906701,0.10496916600095574,0.028399003017115926
10.0,cross_entropy,5,0.029576171305939973,15000000,False,1682.9747131247543,0.10265325000000303,0.028399003017115926
10.0,cross_entropy,6,0.030310704423628754,15000000,False,848.762509797754,0.10219583400248666,0.028399003017115926
10.0,cross_entropy,7,0.02843395861520507,15000000,False,759.0073531289019,0.10279558299953351,0.028399003017115926
10.0,cross_entropy,8,0.025987041113568983,15000000,False,637.7175043759972,0.09795758299878798,0.028399003017115926
10.0,cross_entropy,9,0.02975023496327247,15000000,False,1116.867190896071,0.09723954200308071,0.028399003017115926
10.0,fixed_splitting,0,0.025843126867799368,2099539,False,2500.0,0.03956716600077925,0.028399003017115926
10.0,fixed_splitting,1,0.03047939998816334,2131317,False,2500.0,0.03898437499810825,0.028399003017115926
10.0,fixed_splitting,2,0.029108446522212367,2130120,False,2500.0,0.039217541001562495,0.028399003017115926
10.0,fixed_splitting,3,0.02584043419750524,2113934,False,2500.0,0.03977758299879497,0.028399003017115926
10.0,fixed_splitting,4,0.028224255374093444,2123132,False,2500.0,0.03860841699861339,0.028399003017115926
10.0,fixed_splitting,5,0.02635441886731258,2109776,False,2500.0,0.03891920800015214,0.028399003017115926
10.0,fixed_splitting,6,0.029573442594207664,2145045,False,2500.0,0.0397442499997851,0.028399003017115926
10.0,fixed_splitting,7,0.02827682997838979,2147088,False,2500.0,0.03927366700008861,0.028399003017115926
10.0,fixed_splitting,8,0.02711507141063658,2140697,False,2500.0,0.03927179200036335,0.028399003017115926
10.0,fixed_splitting,9,0.029399595175316196,2128059,False,2500.0,0.03925587499907124,0.028399003017115926
15.0,plain_mc,0,0.00064,10000000,False,50000.0,0.058555791998514906,0.0006341026683676603
15.0,plain_mc,1,0.0007,10000000,False,50000.0,0.05820987499828334,0.0006341026683676603
15.0,plain_mc,2,0.00054,10000000,False,50000.0,0.05837491599959321,0.0006341026683676603
