B,method,mean_estimate,rel_rmse,work_mean,work_norm_efficiency,frac_nondegenerate,wall_s_mean,ess_mean,ref
10.0,plain_mc,0.028298,0.031070073671220007,10000000.0,9653.494779350387,1.0,0.058222258301248074,50000.0,0.028399003017115926
10.0,gpu_mlmc_is,0.029082134635609668,0.07358138982796208,10000000.0,54142.20929014523,1.0,0.18944378340056572,531.745805744591,0.028399003017115926
10.0,ams,0.027788749999999994,0.034500241126665936,877714.5,1044.7142868616331,1.0,0.02034705829937593,2500.0,0.028399003017115926
10.0,cross_entropy,0.028271773920676445,0.045845479124281524,15000000.0,31527.119342023998,1.0,0.10095857910018821,1021.9013752198683,0.028399003017115926
10.0,fixed_splitting,0.028021502097563662,0.056958224459088796,2126870.7,6900.077582276614,1.0,0.03926198739973188,2500.0,0.028399003017115926
15.0,plain_mc,0.0006119999999999999,0.18353646219870778,10000000.0,336856.3295641769,1.0,0.05870069580014388,50000.0,0.0006341026683676603
15.0,gpu_mlmc_is,0.0008276322165088315,0.45683653701246596,10000000.0,2086996.215495422,1.0,0.12427632079998148,61.956978423662534,0.0006341026683676603
15.0,ams,0.000631640625,0.06363222082935345,1068903.0,4328.051876311035,1.0,0.03149521269988327,2500.0,0.0006341026683676603
15.0,cross_entropy,0.0007046900755294245,0.21669734893555473,16000000.0,751323.856571161,1.0,0.1042926999998599,66.21950755647865,0.0006341026683676603
15.0,fixed_splitting,0.0006136331955552208,0.14191751065779265,1719972.2,34641.23740172476,1.0,0.03575989989985828,2500.0,0.0006341026683676603
20.0,plain_mc,2e-05,3.708650881530642,10000000.0,137540913.61078006,0.3,0.05820327480068954,50000.0,4.247501142726173e-06
20.0,gpu_mlmc_is,1.3918928686254188e-05,2.9942678198677495,10000000.0,89656397.77095567,1.0,0.12487878329993692,18.634456600416378,4.247501142726173e-06
20.0,ams,4.267578125e-06,0.1859810845417555,1239457.2,42871.54023153161,1.0,0.04554922899988014,2500.0,4.247501142726173e-06
20.0,cross_entropy,1.1322330395110909e-05,2.0994654121201837,17000000.0,74931835.28371254,1.0,0.11116974589931487,17.974866646761285,4.247501142726173e-06
20.0,fixed_splitting,5.171164976326691e-06,0.3369461370334107,1462372.9,166027.14266421561,1.0,0.031225412400090136,2500.0,4.247501142726173e-06
25.0,plain_mc,nan,inf,10000000.0,inf,0.0,0.0583315372994548,50000.0,8.29109774195764e-09
25.0,gpu_mlmc_is,1.9446813012372336e-07,32.35545961272024,10000000.0,10468757667.503706,1.0,0.12523994160073926,9.324903290987015,8.29109774195764e-09
25.0,ams,8.613169193267824e-09,0.39952958753795026,1378289.9,220007.9972026343,1.0,0.05905027490007342,2500.0,8.29109774195764e-09
25.0,cross_entropy,1.4010741151528067e-07,18.35265349064598,18000000.0,6062758022.658962,1.0,0.11869031249989348,9.895650311236754,8.29109774195764e-09
25.0,fixed_splitting,7.991085343839616e-09,0.38954430214411606,1266094.4,192123.19508516876,1.0,0.02673146649940463,2500.0,8.29109774195764e-09
