claim_id,kind,description,source,n,insufficient_n,point_estimate,point_estimate_kind,ci_lower,ci_upper,ci_method,paired_ttest_pvalue,wilcoxon_pvalue,cohens_d,rank_biserial_r
adaptive_stepping_beta_var_shift__bimodal_load__adaptive_embedded_rtol0.0001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=bimodal_load, adaptive-minus-uniform (adaptive_embedded_rtol0.0001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0013298769973068003,mean_diff,0.0012344447254829527,0.0013833505232613286,BCa,0.001340908179582232,0.25,15.750804785386789,1.0
adaptive_stepping_beta_var_shift__bimodal_load__adaptive_embedded_rtol0.001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=bimodal_load, adaptive-minus-uniform (adaptive_embedded_rtol0.001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0014324384666088246,mean_diff,0.0012784770673712753,0.0015194073871740061,BCa,0.0030202221094408773,0.25,10.481765639524294,1.0
adaptive_stepping_beta_var_shift__bimodal_load__adaptive_embedded_rtol0.01,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=bimodal_load, adaptive-minus-uniform (adaptive_embedded_rtol0.01 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0019057517040243683,mean_diff,0.0013614190175519718,0.00295702108547935,BCa,0.06859816043177215,0.25,2.089290871149645,1.0
adaptive_stepping_beta_var_shift__bimodal_load__adaptive_embedded_rtol1e-05,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=bimodal_load, adaptive-minus-uniform (adaptive_embedded_rtol1e-05 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0012469957440405244,mean_diff,0.001133943531613335,0.0013173072574989748,BCa,0.002412666082773294,0.25,11.732857595760791,1.0
adaptive_stepping_beta_var_shift__bimodal_load__adaptive_halfstep_rtol1e-03,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=bimodal_load, adaptive-minus-uniform (adaptive_halfstep_rtol1e-03 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0010609230549364728,mean_diff,0.0007879438171377595,0.0012001458424523899,BCa,0.016170335819863175,0.25,4.4850013076574164,1.0
adaptive_stepping_beta_var_shift__heterogeneous_rho__adaptive_embedded_rtol0.0001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=heterogeneous_rho, adaptive-minus-uniform (adaptive_embedded_rtol0.0001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0015400970740696573,mean_diff,0.0012223740629627722,0.0021108130204935405,BCa,0.033855364188501186,0.25,3.0575603724822358,1.0
adaptive_stepping_beta_var_shift__heterogeneous_rho__adaptive_embedded_rtol0.001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=heterogeneous_rho, adaptive-minus-uniform (adaptive_embedded_rtol0.001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0013895988109060564,mean_diff,0.0010061722572690668,0.0020050196550860377,BCa,0.05334746921347295,0.25,2.3985227420165423,1.0
adaptive_stepping_beta_var_shift__heterogeneous_rho__adaptive_embedded_rtol0.01,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=heterogeneous_rho, adaptive-minus-uniform (adaptive_embedded_rtol0.01 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,3.916804742853941e-05,mean_diff,-3.753992321620103e-05,0.00013596141260829864,BCa,0.5233664293857934,0.75,0.4426899862818146,0.3333333333333333
adaptive_stepping_beta_var_shift__heterogeneous_rho__adaptive_embedded_rtol1e-05,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=heterogeneous_rho, adaptive-minus-uniform (adaptive_embedded_rtol1e-05 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.001387567984168873,mean_diff,0.0010512847120059214,0.0019634434289557134,BCa,0.04366699445995834,0.25,2.6715633294717214,1.0
adaptive_stepping_beta_var_shift__heterogeneous_rho__adaptive_halfstep_rtol1e-03,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=heterogeneous_rho, adaptive-minus-uniform (adaptive_halfstep_rtol1e-03 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0007391138257713351,mean_diff,0.00048580394088915124,0.0010731966401744675,BCa,0.05137011727416354,0.25,2.4481116124577027,1.0
adaptive_stepping_beta_var_shift__homogeneous_chain__adaptive_embedded_rtol0.0001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=homogeneous_chain, adaptive-minus-uniform (adaptive_embedded_rtol0.0001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,-0.003193378314252704,mean_diff,-0.003209804945445982,-0.003161605244485166,BCa,2.483388768373584e-05,0.25,-115.85343829742497,-1.0
adaptive_stepping_beta_var_shift__homogeneous_chain__adaptive_embedded_rtol0.001,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=homogeneous_chain, adaptive-minus-uniform (adaptive_embedded_rtol0.001 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0011032290266058675,mean_diff,0.0007467075126009748,0.001317618001798193,BCa,0.028095616145720422,0.25,3.3714420941285383,1.0
adaptive_stepping_beta_var_shift__homogeneous_chain__adaptive_embedded_rtol0.01,paired_difference,"MLMC level-difference-variance decay exponent beta_var (Giles 2008 convention), regime=homogeneous_chain, adaptive-minus-uniform (adaptive_embedded_rtol0.01 minus uniform, seed-paired, n=3); if this CI excludes 0 it contradicts the S1b.5 'beta_var unchanged' finding, if it includes 0 it confirms it with a real interval instead of an eyeballed delta",results/adaptive_stepping_full/mlmc_exponents.csv,3,True,0.0,mean_diff,0.0,0.0,percentile,nan,1.0,0.0,nan
