W_MC_0.0005,W_MC_0.001,W_MC_0.002,W_MC_0.005,W_MC_0.01,W_MLMC_0.0005,W_MLMC_0.001,W_MLMC_0.002,W_MLMC_0.005,W_MLMC_0.01,antithetic_work_ratio_vs_mc,beta_var,both_floored_0.0005,both_floored_0.001,both_floored_0.002,both_floored_0.005,both_floored_0.01,crossover_rel_eps,cv_work_ratio_vs_mc,min_V_l,ratio_0.0005,ratio_0.001,ratio_0.002,ratio_0.005,ratio_0.01,ref_mean,seed,topology,traffic,var_mc_per_path
4967363.707278417,1241840.9268196044,310460.2317049011,49673.637072784186,20000.0,1131517.7474146688,289991.6301715132,104713.27397829649,60854.12383652744,55000.0,31.430519809078632,1.2496499132265668,False,False,False,False,True,0.004359794641269909,17.352576740864723,9.561720563702674e-07,4.390000703593048,4.282333686958922,2.9648603267743203,0.81627396700711,nan,0.7871457583609529,0,er,uniform,0.0009618033838470066
5017582.425055145,1254395.6062637863,313598.9015659466,50175.82425055146,20000.0,1162148.500502076,297199.21794629167,105910.80549353224,61045.72887896516,55000.0,30.5793357461062,1.2956251869323747,False,False,False,False,True,0.004359794641269909,16.995262705453072,9.681218440660507e-07,4.3175053987398595,4.2207231059755825,2.960971735646911,0.821938326758857,nan,0.7872171409975656,1,er,uniform,0.0009717031733046589
4984731.738883487,1246182.9347208717,311545.73368021793,49847.31738883486,20000.0,1147831.1144362905,293518.40932460857,105088.71645278344,60914.194632445346,55000.0,31.116451790294064,1.285391473382238,False,False,False,False,True,0.004359794641269909,15.950616810561312,9.89066692720931e-07,4.342739690700518,4.245672145704122,2.964597382062384,0.8183202238757693,nan,0.7873475692948889,2,er,uniform,0.000965661228762234
4106838.7276364723,1026709.6819091181,256677.42047727952,41068.387276364716,20000.0,1044804.6913715744,266261.76972216717,98434.33311495728,59849.493298393165,55000.0,16.383155823014945,1.141375418301398,False,False,False,False,True,0.0040021232150403065,8.231484674765568,1.3446881065476268e-06,3.930723858298523,3.8560161414852985,2.6076005429682434,0.6861944022083696,nan,0.8231953545837878,0,er,mmpp2,0.0008696880294513178
4123707.198483582,1030926.7996208955,257731.69990522388,41237.07198483581,20000.0,1039985.9436408161,266501.8233611401,98340.52125009803,59834.483400015684,55000.0,15.920487300387931,1.2367472349544644,False,False,False,False,True,0.0040021232150403065,8.112872590340016,1.1964204125629724e-06,3.965156667451846,3.8683667774530504,2.6208087635590704,0.6891857277207645,nan,0.8223317478553326,1,er,mmpp2,0.0008714288973553014
4116820.9245200567,1029205.2311300142,257301.30778250354,41168.20924520057,20000.0,1033181.975097668,264357.4330170801,98003.8326087958,59780.61321740733,55000.0,17.36464727474094,1.2061901169576628,False,False,False,False,True,0.0040021232150403065,8.191551781212903,1.2581022220221888e-06,3.984603897228161,3.8932335640568776,2.625420873177269,0.6886548502853586,nan,0.8249317851209029,2,er,mmpp2,0.0008754837168685787
4233545.088532272,1058386.272133068,264596.568033267,42335.45088532271,20000.0,1063293.5792192868,271191.24551316106,99548.61646476071,60027.77863436171,55000.0,16.92417222938697,1.1633704710914554,False,False,False,False,True,0.0040021232150403065,8.321372838792229,1.2567333666537467e-06,3.9815392204669497,3.90273023058078,2.657963288991884,0.7052643267576891,nan,0.8128426590623823,0,er,pareto,0.0008741122105136792
4268939.690365414,1067234.9225913535,266808.7306478384,42689.39690365414,20000.0,1075818.524710252,274815.18626873766,100193.87692801883,60131.020308483014,55000.0,16.87155844481913,1.2325879600943,False,False,False,False,True,0.0040021232150403065,8.856280475897222,1.196394177057984e-06,3.968085315797252,3.8834641457831247,2.6629245102424655,0.7099396731445734,nan,0.8140292353447753,1,er,pareto,0.0008839954835980587
4243917.974134759,1060979.4935336898,265244.87338342244,42439.179741347594,20000.0,1064014.0421534413,271443.5345541694,99350.97019732035,59996.155231571254,55000.0,18.27305180352437,1.2117460703927954,False,False,False,False,True,0.0040021232150403065,8.309086431327572,1.2540534163182203e-06,3.9885920730383972,3.9086563445922127,2.6697763781936024,0.7073649899321415,nan,0.8146374796767811,2,er,pareto,0.0008801278776527976
4741755.318485073,1185438.8296212682,296359.70740531705,47417.55318485074,20000.0,1079504.9636177777,277546.74297607737,102063.69047286437,60430.190475658295,55000.0,29.55894302959877,1.2140881079332901,False,False,False,False,True,0.004177132431062562,14.955686353865186,9.957530437510483e-07,4.392527573559166,4.271132195283751,2.9036742256944947,0.7846666179870947,nan,0.8042106354932603,0,er,degree,0.0009583602367941342
4723322.466881182,1180830.6167202955,295207.6541800739,47233.22466881182,20000.0,1090678.874711039,280751.3127602266,102593.14187741687,60514.9027003867,55000.0,28.19600203613789,1.281752415730537,False,False,False,False,True,0.004177132431062562,13.692653007517759,9.61426514554574e-07,4.330626159906658,4.205966501495131,2.8774599235181033,0.7805221947173351,nan,0.809204259256897,1,er,degree,0.0009665268832294148
4737299.123527941,1184324.7808819853,296081.19522049633,47372.99123527942,20000.0,1086297.4546188347,279562.5892178119,102217.66048902905,60454.82567824465,55000.0,28.982520459678955,1.3024941680847162,False,False,False,False,True,0.004177132431062562,14.09031524225379,9.64960753339254e-07,4.360959425418324,4.236349306234455,2.89657573656046,0.7836097566042131,nan,0.8056284223849568,2,er,degree,0.0009608384829071564
5104644.181413242,1276161.0453533104,319040.2613383276,51046.44181413243,20000.0,1156931.4234808635,295641.2709941368,105667.45225193327,61006.79236030932,55000.0,31.105135224799845,1.2707900413524416,False,False,False,False,True,0.004359794641269909,16.57158052033057,9.938548659587924e-07,4.412227101633113,4.316586250160653,3.019286019858499,0.8367337445419103,nan,0.7872611177236825,0,ba,uniform,0.0009886739735047968
5085545.067846214,1271386.2669615536,317846.5667403884,50855.45067846214,20000.0,1188824.8302310216,303329.2091158635,107112.19648364253,61237.9514373828,55000.0,29.620004050481523,1.3003665465254128,False,False,False,False,True,0.004359794641269909,16.513507640414772,9.908704276187039e-07,4.277791764206298,4.1914402858444095,2.9674171305872514,0.8304564324047156,nan,0.7873145246416279,1,ba,uniform,0.0009851084766380875
5099681.3453459265,1274920.3363364816,318730.0840841204,50996.81345345927,20000.0,1160301.1257653395,296515.77988620294,105622.51270700777,60999.60203312124,55000.0,30.887125952838144,1.2956884604228114,False,False,False,False,True,0.004359794641269909,15.797868220070285,9.894556994004633e-07,4.395136083300923,4.299671123154968,3.017633986499296,0.8360187895286478,nan,0.7877312297195627,2,ba,uniform,0.0009888927402071398
4238530.251883305,1059632.5629708262,264908.14074270654,42385.30251883306,20000.0,1082493.9674003671,274146.37517867796,99696.73176742785,60051.47708278846,55000.0,15.468897823207344,1.1371014333380738,False,False,False,False,True,0.0040021232150403065,7.540379016236447,1.4362018111702638e-06,3.915523208006625,3.8652072721377357,2.6571396679349855,0.7058161527051138,nan,0.8156623488121445,0,ba,mmpp2,0.0008812236419856467
4190178.298291847,1047544.5745729618,261886.14364324044,41901.782982918485,20000.0,1063749.3087714459,271744.70640012214,99304.53286098021,59988.725257756836,55000.0,15.426498444398842,1.2427600954337426,False,False,False,False,True,0.0040021232150403065,7.823249267715289,1.2321246287552307e-06,3.9390655897405025,3.854884933914911,2.637202311901147,0.6984943054361766,nan,0.8196428863661076,1,ba,mmpp2,0.0008796944923986027
4192025.598296358,1048006.3995740894,262001.59989352236,41920.25598296357,20000.0,1042013.482764692,266151.42551915575,98292.47106780534,59826.79537084886,55000.0,17.084018297024073,1.1932892024363755,False,False,False,False,True,0.0040021232150403065,7.8560165224456915,1.2910893244838416e-06,4.023005141136934,3.9376321112308346,2.665530706952979,0.7006936561303698,nan,0.8249768927892801,2,ba,mmpp2,0.0008915742487961473
4373066.1463953415,1093266.5365988354,273316.63414970884,43730.661463953424,20000.0,1110222.7510077544,281281.47144322883,101183.90232760904,60289.424372417445,55000.0,15.678987669313976,1.1599802888333326,False,False,False,False,True,0.0040021232150403065,7.565092265288594,1.3421414430575888e-06,3.9389087842290107,3.88673498822865,2.7011869265999997,0.7253454800600204,nan,0.8047019637367453,0,ba,pareto,0.0008849244415518801
4342540.900914828,1085635.225228707,271408.80630717677,43425.40900914828,20000.0,1105671.5430682374,281644.49391273165,101473.736253291,60335.79780052656,55000.0,16.553786522530018,1.2381444683465954,False,False,False,False,True,0.0040021232150403065,8.39138804956503,1.2191243922180524e-06,3.9275143944324387,3.8546296792334744,2.6746704746310592,0.7197287612358264,nan,0.811731186247604,1,ba,pareto,0.0008941665156225159
4328401.843432257,1082100.4608580642,270525.11521451606,43284.01843432256,20000.0,1073372.3733338772,273479.9796130726,99770.11618095095,60063.21858895215,55000.0,18.533432528727875,1.1941415462466838,False,False,False,False,True,0.0040021232150403065,8.532642950169192,1.2793144420509362e-06,4.032525851199534,3.956781269287249,2.7114844160737506,0.7206410087767774,nan,0.8163360371728037,2,ba,pareto,0.0009013958053194865
3482580.946507054,870645.2366267635,217661.30915669087,34825.80946507054,20000.0,746797.6361930507,202529.73708265214,87322.89500001873,58071.663200003,55000.0,39.15592324851145,1.3348525480758713,False,False,False,False,True,0.003673794650038648,19.079635715174753,8.440818783551075e-07,4.663352932208252,4.298851364584817,2.4926029898189266,0.5997040130420914,nan,0.9704978702336018,0,ba,degree,0.0010250390594336949
3658310.1881937464,914577.5470484366,228644.38676210915,36583.10188193746,20000.0,816196.5765219935,218400.24961979006,90493.42356216104,58578.947769945764,55000.0,34.08115539989286,1.3386513114545047,False,False,False,False,True,0.003673794650038648,17.063442225541344,8.86556011119675e-07,4.482143509818028,4.187621344941738,2.526640917779517,0.6245093719608704,nan,0.9415154221076389,1,ba,degree,0.0010134105580587064
3718727.7731090784,929681.9432772696,232420.4858193174,37187.27773109079,20000.0,818824.376176501,218792.17044750546,90377.86029901681,58560.45764784269,55000.0,31.965933964092876,1.3397645789701638,False,False,False,False,True,0.0038344463558916235,15.124509735034605,8.929737372468565e-07,4.541545026387308,4.249155449099249,2.5716528920949218,0.6350236870537971,nan,0.9306750758340702,2,ba,degree,0.0010065621040434066
4956861.317533934,1239215.3293834834,309803.83234587085,49568.61317533934,20000.0,1131271.2913887668,290003.1638440626,104717.58803526568,60854.81408564251,55000.0,31.701774834335506,1.254924162093185,False,False,False,False,True,0.004359794641269909,17.439427710126367,9.503524398481533e-07,4.381673392815273,4.273109689416427,2.958469901364978,0.8145388975403028,nan,0.7871769621608278,0,ws,uniform,0.0009598459590722314
5013003.692361914,1253250.9230904784,313312.7307726196,50130.03692361915,20000.0,1157523.5494491078,296158.3461753385,105749.47926016469,61019.91668162635,55000.0,30.662756929989467,1.2879881986138357,False,False,False,False,True,0.004359794641269909,17.06566857698596,9.623608114293332e-07,4.330800608547202,4.231692063638483,2.962782729187802,0.821535650157873,nan,0.787199424761177,1,ws,uniform,0.0009707727618630569
4978510.318706546,1244627.5796766365,311156.8949191591,49785.10318706546,20000.0,1142327.8685174384,292415.6741007138,104883.1294896406,60881.30071834249,55000.0,30.764331155914643,1.2963568367359937,False,False,False,False,True,0.004359794641269909,15.880995449203517,9.70954386211149e-07,4.3582148837600085,4.256364107376686,2.966701093238187,0.8177404654573365,nan,0.7874062941040547,2,ws,uniform,0.000964599866004082
4101595.7840427305,1025398.9460106826,256349.73650267065,41015.95784042732,20000.0,1047284.3149212894,266592.1568816439,98466.86986637262,59854.69917861962,55000.0,16.1430806362673,1.1339678829417874,False,False,False,False,True,0.0040021232150403065,8.03834893875935,1.3694922447623487e-06,3.916410974178481,3.846320754537119,2.6034110442482596,0.6852587750550154,nan,0.8221934717239154,0,ws,mmpp2,0.0008664648073900521
4140675.97367209,1035168.9934180225,258792.24835450563,41406.759736720895,20000.0,1040970.8984907602,266786.5507234433,98422.03296863756,59847.52527498201,55000.0,15.953615569003965,1.2394412543915883,False,False,False,False,True,0.0040021232150403065,8.274993086530852,1.187694919533175e-06,3.9777057933851965,3.880139349644732,2.6294137658888883,0.6918708759713764,nan,0.8210605734745048,1,ws,mmpp2,0.0008723116336271793
4121354.3289580746,1030338.5822395186,257584.64555987966,41213.54328958074,20000.0,1039714.0496680759,265715.331821464,98203.18732768792,59812.50997243007,55000.0,16.820072911340738,1.2025218648164058,False,False,False,False,True,0.0040021232150403065,7.9396894629534955,1.2671059835748162e-06,3.9639305925257036,3.8776030542784423,2.622976428457072,0.6890455409508426,nan,0.8210549303035893,2,ws,mmpp2,0.0008682292292300627
4191924.6443066834,1047981.1610766709,261995.29026916772,41919.24644306683,20000.0,1050810.0938972842,268722.2163589017,99104.88855449957,59956.78216871993,55000.0,17.422595838368217,1.1812287602855938,False,False,False,False,True,0.0040021232150403065,8.659215064291013,1.220208557055468e-06,3.989231421216668,3.899867957612413,2.643616213998281,0.6991577087160047,nan,0.8178714300448355,0,ws,pareto,0.0008762611636526735
4253726.2198631475,1063431.5549657869,265857.8887414467,42537.26219863148,20000.0,1067131.6025212554,273062.6532440642,99916.71391551764,60086.67422648282,55000.0,17.350724426716837,1.2394521564215852,False,False,False,False,True,0.0040021232150403065,8.930765264903284,1.1725402356192363e-06,3.9861308669081614,3.8944599062958956,2.6607949593522155,0.7079317127504362,nan,0.8167972769043955,1,ws,pareto,0.0008868458096056598
4231222.418066558,1057805.6045166396,264451.4011291599,42312.22418066558,20000.0,1060148.1266918657,270566.6020321071,99252.33537356733,59980.373659770776,55000.0,18.483008557236968,1.2063444997917798,False,False,False,False,True,0.0040021232150403065,8.512410877616356,1.2561546085858597e-06,3.9911615287854696,3.9095941500980738,2.6644350496521216,0.705434487965597,nan,0.8168152847571826,2,ws,pareto,0.0008821929617235539
4918505.85182124,1229626.46295531,307406.6157388275,49185.05851821241,20000.0,1124331.207334328,288259.15443338593,104372.71046513591,60799.63367442175,55000.0,31.608450443068907,1.2461719776067746,False,False,False,False,True,0.004359794641269909,17.210923840810963,9.62075669587419e-07,4.374605827656874,4.265697876524735,2.945277691542867,0.8089696523764491,nan,0.7892731455540086,0,ws,degree,0.0009574979815178315
4985418.330930165,1246354.5827325413,311588.6456831353,49854.18330930166,20000.0,1145980.3795832428,293622.85095965007,105277.95623700056,60944.47299792009,55000.0,30.30782962361337,1.294927172183922,False,False,False,False,True,0.004359794641269909,16.49419476573733,9.477998000642021e-07,4.350352257115611,4.244746547004329,2.959676050147577,0.8180263255538051,nan,0.7892212143029749,1,ws,degree,0.0009703962935911035
4942382.55969759,1235595.6399243975,308898.90998109936,49423.82559697588,20000.0,1135663.1411199912,290607.39820931683,104519.72133720796,60823.155413953275,55000.0,30.005437236472773,1.2740478408408513,False,False,False,False,True,0.004359794641269909,15.474969563100405,9.939417544645455e-07,4.3519793684801735,4.251769389003753,2.9554126822105724,0.8125823999199768,nan,0.7895027347759094,2,ws,degree,0.0009627059534903873
4961766.194460722,1240441.5486151804,310110.3871537951,49617.66194460721,20000.0,1130072.2877305525,289588.03467216453,104662.09269637166,60845.934831419465,55000.0,31.63494560430038,1.241165444907212,False,False,False,False,True,0.004359794641269909,17.428543438832044,9.609707792091451e-07,4.390662657895187,4.283469619245332,2.9629675765554966,0.815463877448486,nan,0.7871619092865307,0,rr,uniform,0.0009607589932969596
5005187.893603246,1251296.9734008114,312824.24335020286,50051.878936032466,20000.0,1158558.5989556452,296398.9618325261,105793.76486033067,61027.00237765291,55000.0,30.77610824273798,1.289714481309382,False,False,False,False,True,0.004359794641269909,17.055148945913345,9.63003885589526e-07,4.320185356282412,4.221664494586962,2.9569251435866244,0.8201595520995251,nan,0.7871992485767766,1,rr,uniform,0.000969258791403529
4978211.636745901,1244552.9091864752,311138.2272966188,49782.116367459,20000.0,1141650.7209863504,292246.90553655947,104826.29331132151,60872.206929811444,55000.0,30.99803674738985,1.2956285995760741,False,False,False,False,True,0.004359794641269909,15.983439523512542,9.71406889147495e-07,4.360538249776501,4.2585665942347655,2.968131539026908,0.8178135618585367,nan,0.7873739026661298,2,rr,uniform,0.0009644626407011175
4107660.0681272,1026915.0170318,256728.75425795,41076.600681272,20000.0,1049664.9445498874,267305.1198166727,98562.2049062539,59869.95278500063,55000.0,16.112115671752715,1.1499910462368443,False,False,False,False,True,0.0040021232150403065,8.081424022786432,1.3483877864787517e-06,3.913305945344901,3.8417334383123474,2.6047383426754105,0.686097094961515,nan,0.8205921522981503,0,rr,mmpp2,0.0008643691065967043
4130976.464926388,1032744.116231597,258186.02905789926,41309.76464926388,20000.0,1041943.8331203304,267168.6771583711,98512.2778912749,59861.96446260398,55000.0,16.03107273148133,1.2498472858808163,False,False,False,False,True,0.0040021232150403065,8.256556377538674,1.1740650785150613e-06,3.9646824844245865,3.8655134547056633,2.620851274425423,0.6900836786783078,nan,0.8215820802438875,1,rr,mmpp2,0.0008713741231920051
4111532.048873611,1027883.0122184027,256970.75305460067,41115.32048873611,20000.0,1036404.3186788209,264879.79879892746,98075.66212717994,59792.10594034879,55000.0,16.921118101427723,1.1949145099081242,False,False,False,False,True,0.0040021232150403065,8.01753223357096,1.27233521812714e-06,3.9671120380074028,3.880564002537157,2.6201276390198927,0.6876379388569211,nan,0.8211621116753288,2,rr,mmpp2,0.0008663861624103444
4202183.778208285,1050545.9445520712,262636.4861380178,42021.837782082854,20000.0,1057084.9049773936,269946.1126361479,99261.28684939446,59981.80589590311,55000.0,17.34241767079071,1.173172011035823,False,False,False,False,True,0.0040021232150403065,8.531958135640046,1.2447290373672295e-06,3.975256631157883,3.891687619773469,2.645910550570502,0.7005764023679226,nan,0.8167668375864312,0,rr,pareto,0.0008760345929309971
4273335.717100634,1068333.9292751586,267083.48231878964,42733.35717100634,20000.0,1071083.3848226692,273765.995998255,100105.69394346015,60116.911030953626,55000.0,17.52581586634702,1.2169253195999905,False,False,False,False,True,0.0040021232150403065,9.06664191033579,1.1924933632182592e-06,3.9897320578902797,3.9023616697888523,2.6680148930353433,0.7108375403553809,nan,0.8154573539019304,1,rr,pareto,0.0008880134456818654
4235393.926641236,1058848.481660309,264712.12041507725,42353.939266412366,20000.0,1059167.4261003989,270288.64402201807,99240.89715389136,59978.54354462262,55000.0,18.46938183753905,1.1950071480179942,False,False,False,False,True,0.0040021232150403065,8.589397504394068,1.259876121196755e-06,3.998795489996273,3.9174730610363855,2.6673692802735567,0.7061515129139813,nan,0.8165519705657172,2,rr,pareto,0.0008824934560253884
4961766.194460722,1240441.5486151804,310110.3871537951,49617.66194460721,20000.0,1130072.2877305525,289588.03467216453,104662.09269637166,60845.934831419465,55000.0,31.63494560430038,1.241165444907212,False,False,False,False,True,0.004359794641269909,17.428543438832044,9.609707792091451e-07,4.390662657895187,4.283469619245332,2.9629675765554966,0.815463877448486,nan,0.7871619092865307,0,rr,degree,0.0009607589932969596
5005187.893603246,1251296.9734008114,312824.24335020286,50051.878936032466,20000.0,1158558.5989556452,296398.9618325261,105793.76486033067,61027.00237765291,55000.0,30.77610824273798,1.289714481309382,False,False,False,False,True,0.004359794641269909,17.055148945913345,9.63003885589526e-07,4.320185356282412,4.221664494586962,2.9569251435866244,0.8201595520995251,nan,0.7871992485767766,1,rr,degree,0.000969258791403529
4978211.636745901,1244552.9091864752,311138.2272966188,49782.116367459,20000.0,1141650.7209863504,292246.90553655947,104826.29331132151,60872.206929811444,55000.0,30.99803674738985,1.2956285995760741,False,False,False,False,True,0.004359794641269909,15.983439523512542,9.71406889147495e-07,4.360538249776501,4.2585665942347655,2.968131539026908,0.8178135618585367,nan,0.7873739026661298,2,rr,degree,0.0009644626407011175
