# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:29:32.643561+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": false, "threads": 6, "topologies": ["er", "ba", "ws", "rr", "caida"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
50.0,0.0009554121833202534,0.4,0,0.7689928996352938,0,er,uniform
150.0,5.406301519322509e-06,0.2,1,0.00821979364904913,0,er,uniform
300.0,2.089906104630703e-06,0.1,2,0.006000624745074518,0,er,uniform
600.0,9.561720563702674e-07,0.05,3,0.0043868151592281685,0,er,uniform
50.0,0.0009735666465391817,0.4,0,0.7684408958272775,1,er,uniform
150.0,5.834103214092536e-06,0.2,1,0.008355168282678908,1,er,uniform
300.0,2.2060054585804203e-06,0.1,2,0.005975737422790438,1,er,uniform
600.0,9.681218440660507e-07,0.05,3,0.004382044894288373,1,er,uniform
50.0,0.0009559168237019223,0.4,0,0.77022732615828,2,er,uniform
150.0,5.87635949255515e-06,0.2,1,0.00829067928937404,2,er,uniform
300.0,2.178356189331791e-06,0.1,2,0.00605361800493715,2,er,uniform
600.0,9.89066692720931e-07,0.05,3,0.004364393910381021,2,er,uniform
50.0,0.0008758414869920702,0.4,0,0.7961387855098223,0,er,mmpp2
150.0,6.543318164674651e-06,0.2,1,0.01239104788305935,0,er,mmpp2
300.0,2.7062177367206056e-06,0.1,2,0.00870938153949478,0,er,mmpp2
600.0,1.3446881065476268e-06,0.05,3,0.006278300664966699,0,er,mmpp2
50.0,0.000874471609051423,0.4,0,0.794497053989995,1,er,mmpp2
150.0,6.64476832654554e-06,0.2,1,0.012683588662865605,1,er,mmpp2
300.0,2.808849912293525e-06,0.1,2,0.00885375245828292,1,er,mmpp2
600.0,1.1964204125629724e-06,0.05,3,0.006317543629057212,1,er,mmpp2
50.0,0.0008728410889645631,0.4,0,0.799021971034968,2,er,mmpp2
150.0,6.697531127953727e-06,0.2,1,0.012383634659620234,2,er,mmpp2
300.0,2.6846315361462662e-06,0.1,2,0.00869203837799981,2,er,mmpp2
600.0,1.2581022220221888e-06,0.05,3,0.006222377726837458,2,er,mmpp2
50.0,0.0008803056152820518,0.4,0,0.7866472013096655,0,er,pareto
150.0,6.30466422258959e-06,0.2,1,0.012012740689125148,0,er,pareto
300.0,2.6749750106288288e-06,0.1,2,0.008485934304804505,0,er,pareto
600.0,1.2567333666537467e-06,0.05,3,0.006090567391970307,0,er,pareto
50.0,0.0008966980272863896,0.4,0,0.7874084829005646,1,er,pareto
150.0,6.606420104774266e-06,0.2,1,0.012142709959318397,1,er,pareto
300.0,2.7073671275721386e-06,0.1,2,0.008504739680027235,1,er,pareto
600.0,1.196394177057984e-06,0.05,3,0.006098674072139319,1,er,pareto
50.0,0.0008761905528092497,0.4,0,0.7893947472293309,2,er,pareto
150.0,6.727595389389488e-06,0.2,1,0.01212837719758884,2,er,pareto
300.0,2.7243874206064106e-06,0.1,2,0.008539622705290437,2,er,pareto
