W_MC_0.0005,W_MC_0.001,W_MC_0.002,W_MC_0.005,W_MC_0.01,W_MLMC_0.0005,W_MLMC_0.001,W_MLMC_0.002,W_MLMC_0.005,W_MLMC_0.01,antithetic_work_ratio_vs_mc,beta_var,both_floored_0.0005,both_floored_0.001,both_floored_0.002,both_floored_0.005,both_floored_0.01,crossover_rel_eps,cv_work_ratio_vs_mc,min_V_l,ratio_0.0005,ratio_0.001,ratio_0.002,ratio_0.005,ratio_0.01,ref_mean,seed,topology,traffic,var_mc_per_path
4880845.806468948,1220211.451617237,305052.86290430924,48808.45806468947,20000.0,1073800.6832594106,277801.0395144195,102309.80472129153,60469.56875540664,55000.0,39.026866891893256,1.3347231783510523,False,False,False,False,True,0.004359794641269909,19.868388546312552,9.175016940215676e-07,4.545392718184576,4.39239339690772,2.981658148359511,0.8071573697195494,nan,0.8325764395027097,0,er,uniform,0.001057288098085334
4792426.084479565,1198106.5211198912,299526.6302799728,47924.26084479564,20000.0,1091161.2346047554,282615.0966691214,103410.82481145265,60645.73196983243,55000.0,38.62110113616318,1.4047269952589518,False,False,False,False,True,0.004177132431062562,20.082453665750094,8.914466219856053e-07,4.392042103855986,4.23935782355818,2.8964726935124543,0.790233035172781,nan,0.8467099373267046,1,er,uniform,0.0010736797412545032
4764195.565865024,1191048.891466256,297762.222866564,47641.955658650244,20000.0,1042019.9922488047,271131.37003813515,101682.2106282408,60369.15370051853,55000.0,41.195385054062584,1.3292480385180714,False,False,False,False,True,0.004177132431062562,20.407894146242345,9.031846767465447e-07,4.572076928757688,4.392884863521077,2.928361028215733,0.78917713332531,nan,0.8673132406749212,2,er,uniform,0.0011199317454512778
5619805.382214048,1404951.345553512,351237.836388378,56198.05382214049,20000.0,1226377.8270250643,315172.5181338129,110380.35270974328,61649.24258897367,55000.0,28.628100014057168,1.6141820843536587,False,False,False,False,True,0.004550444504152497,13.938275437954728,1.0608954193953057e-06,4.582442097674351,4.457721611872935,3.182068436689949,0.911577360273877,nan,0.9222534505218108,0,er,mmpp2,0.0014937292147815594
5516288.916109973,1379072.2290274932,344768.0572568733,55162.88916109974,20000.0,1222686.0273781316,315636.193028612,110854.3902354896,61834.58952840705,55000.0,27.20638713473031,1.5849553963321987,False,False,False,False,True,0.004550444504152497,13.407296948311625,9.772898079643406e-07,4.511615241027031,4.369182810738318,3.110098359879816,0.8921040728467631,nan,0.9450039798268189,1,er,mmpp2,0.001539445438193568
5363054.5548324725,1340763.6387081181,335190.90967702953,53630.54554832471,20000.0,1181138.3439602365,305079.124491336,108766.43449671085,61502.62951947373,55000.0,28.180270125735127,1.5033986896847025,False,False,False,False,True,0.004550444504152497,13.752481993863027,1.061018213273957e-06,4.540581196314986,4.394806235738344,3.081749541832833,0.8720041072608699,nan,0.959629647235324,2,er,mmpp2,0.0015433682084187448
5581996.486051623,1395499.1215129057,348874.7803782264,55819.96486051624,20000.0,1189853.7742553041,306085.61450023437,108404.55954888313,61444.7295278213,55000.0,27.62596155514444,1.3430961738583425,False,False,False,False,True,0.004550444504152497,13.774731707015077,1.0804395111684316e-06,4.691329814493581,4.55917905123188,3.2182666654432324,0.9084581426181029,nan,0.9186372513343476,0,er,pareto,0.001472067366508138
5453994.321058785,1363498.5802646962,340874.64506617404,54539.94321058785,20000.0,1224335.353908568,315261.65913205093,110449.7660324082,61756.396659706385,55000.0,28.702820904894658,1.5454351346865434,False,False,False,False,True,0.004550444504152497,14.26045664182903,1.0262879776106e-06,4.454657217605825,4.324974321389266,3.0862414408931795,0.8831464619141715,nan,0.9324364890595133,1,er,pareto,0.0014818465178577564
5412390.581723815,1353097.6454309537,338274.4113577384,54123.90581723816,20000.0,1172533.4928647247,302987.0079565139,108800.82678975881,61508.13228636141,55000.0,29.76067277124686,1.3501953535158484,False,False,False,False,True,0.004550444504152497,14.533366687987765,1.0547141203017813e-06,4.615979513301837,4.465860284098903,3.1091161835691077,0.8799471517888928,nan,0.9560793374343595,2,er,pareto,0.0015460623923359976
5008498.872409531,1252124.7181023827,313031.1795255957,50084.988724095325,20000.0,1077678.6034439479,278926.696861929,102792.4310206661,60546.78896330658,55000.0,34.04131150538918,1.3193196878524498,False,False,False,False,True,0.004359794641269909,17.03522567246552,9.408940532016837e-07,4.647488459364251,4.48908165546518,3.0452746025888007,0.8272113118079397,nan,0.8510813115176371,0,er,degree,0.0011337040819389464
