# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
50.0,0.0010250244152405685,0.4,0,0.8139316303901541,0,er,uniform
150.0,5.8370081535495656e-06,0.2,1,0.008922755189627178,0,er,uniform
300.0,2.1826706276921476e-06,0.1,2,0.006155657852093567,0,er,uniform
600.0,9.175016940215676e-07,0.05,3,0.004436886907503719,0,er,uniform
50.0,0.0010898848745134447,0.4,0,0.8264976136399512,1,er,uniform
150.0,6.24921211738608e-06,0.2,1,0.008850212517033086,1,er,uniform
300.0,2.1709985161515085e-06,0.1,2,0.006063869247539536,1,er,uniform
600.0,8.914466219856053e-07,0.05,3,0.004385526051761442,1,er,uniform
50.0,0.0011175628752564748,0.4,0,0.8501352312653421,2,er,uniform
150.0,5.702478064491651e-06,0.2,1,0.008519443954743128,2,er,uniform
300.0,1.9370749514858703e-06,0.1,2,0.005883773837005873,2,er,uniform
600.0,9.031846767465447e-07,0.05,3,0.004235904790177187,2,er,uniform
50.0,0.0014513982068635857,0.4,0,0.8939292405695539,0,er,mmpp2
150.0,9.942761591362338e-06,0.2,1,0.01674222862418217,0,er,mmpp2
300.0,2.5863541058680527e-06,0.1,2,0.00757759157524501,0,er,mmpp2
