# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,W_MC_eps_0.005,W_MC_eps_0.01,W_MC_eps_0.02,W_MLMC_eps_0.005,W_MLMC_eps_0.01,W_MLMC_eps_0.02,antithetic_work_ratio_vs_mc,beta_var,both_at_pilot_floor_eps_0.005,both_at_pilot_floor_eps_0.01,both_at_pilot_floor_eps_0.02,crossover_rel_eps,cv_coefficient,cv_work_ratio_vs_mc,elapsed_s,lemma2_positive_variance_holds,min_V_l,n_nodes,n_steps_fine,pilot_samples,ratio_eps_0.005,ratio_eps_0.01,ratio_eps_0.02,ref_mean,reflection_bind_fraction,rho_max,rho_mean,rho_min,seed,topology,traffic,var_antithetic_per_pair,var_cv_per_path,var_mc_per_path
"[50.0, 150.0, 300.0, 600.0]","[0.0010250244152405685, 5.8370081535495656e-06, 2.1826706276921476e-06, 9.175016940215676e-07]",48808.45806468947,20000.0,20000.0,60469.56875540664,55000.0,55000.0,39.026866891893256,1.3347231783510523,False,True,True,0.004359794641269909,0.9089759812948824,19.868388546312552,14.446259021759033,True,9.175016940215676e-07,200,400,50,0.8071573697195494,nan,nan,0.8325764395027097,0.023185,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,er,uniform,1.3545644094542421e-05,2.660729368214314e-05,0.001057288098085334
"[50.0, 150.0, 300.0, 600.0]","[0.0010898848745134447, 6.24921211738608e-06, 2.1709985161515085e-06, 8.914466219856053e-07]",47924.26084479564,20000.0,20000.0,60645.73196983243,55000.0,55000.0,38.62110113616318,1.4047269952589518,False,True,True,0.004177132431062562,0.9141787129254065,20.082453665750094,14.421477317810059,True,8.914466219856053e-07,200,400,50,0.790233035172781,nan,nan,0.8467099373267046,0.0228098,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,er,uniform,1.390016998051299e-05,2.673178684051007e-05,0.0010736797412545032
"[50.0, 150.0, 300.0, 600.0]","[0.0011175628752564748, 5.702478064491651e-06, 1.9370749514858703e-06, 9.031846767465447e-07]",47641.955658650244,20000.0,20000.0,60369.15370051853,55000.0,55000.0,41.195385054062584,1.3292480385180714,False,True,True,0.004177132431062562,0.9193322884577921,20.407894146242345,14.483366250991821,True,9.031846767465447e-07,200,400,50,0.78917713332531,nan,nan,0.8673132406749212,0.0221138,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,er,uniform,1.3592927265779166e-05,2.7438689593004577e-05,0.0011199317454512778
"[50.0, 150.0, 300.0, 600.0]","[0.0014513982068635857, 9.942761591362338e-06, 2.5863541058680527e-06, 1.0608954193953057e-06]",56198.05382214049,20000.0,20000.0,61649.24258897367,55000.0,55000.0,28.628100014057168,1.6141820843536587,False,True,True,0.004550444504152497,0.8787282150052448,13.938275437954728,14.392231225967407,True,1.0608954193953057e-06,200,400,50,0.911577360273877,nan,nan,0.9222534505218108,0.0238386,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,er,mmpp2,2.6088514676979927e-05,5.358371706136789e-05,0.0014937292147815594
"[50.0, 150.0, 300.0, 600.0]","[0.0015910461803750394, 8.795521646144498e-06, 2.4037854497972386e-06, 9.772898079643406e-07]",55162.88916109974,20000.0,20000.0,61834.58952840705,55000.0,55000.0,27.20638713473031,1.5849553963321987,False,True,True,0.004550444504152497,0.883845114825634,13.407296948311625,14.408074140548706,True,9.772898079643406e-07,200,400,50,0.8921040728467631,nan,nan,0.9450039798268189,0.02356325,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,er,mmpp2,2.8291985822483373e-05,5.741073104177907e-05,0.001539445438193568
"[50.0, 150.0, 300.0, 600.0]","[0.001579738891722572, 8.52823268304855e-06, 2.3739479717662e-06, 1.061018213273957e-06]",53630.54554832471,20000.0,20000.0,61502.62951947373,55000.0,55000.0,28.180270125735127,1.5033986896847025,False,True,True,0.004550444504152497,0.8913840681648658,13.752481993863027,14.42221736907959,True,1.061018213273957e-06,200,400,50,0.8720041072608699,nan,nan,0.959629647235324,0.02301405,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,er,mmpp2,2.7383843404135636e-05,5.6112351541614985e-05,0.0015433682084187448
"[50.0, 150.0, 300.0, 600.0]","[0.0014186293689732881, 6.953843757989274e-06, 3.0385269399217855e-06, 1.0804395111684316e-06]",55819.96486051624,20000.0,20000.0,61444.7295278213,55000.0,55000.0,27.62596155514444,1.3430961738583425,False,True,True,0.004550444504152497,0.877900459469105,13.774731707015077,14.613409996032715,True,1.0804395111684316e-06,200,400,50,0.9084581426181029,nan,nan,0.9186372513343476,0.0240657,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,er,pareto,2.6642825871775186e-05,5.3433613003092326e-05,0.001472067366508138
"[50.0, 150.0, 300.0, 600.0]","[0.0015211150142222297, 8.744075628197093e-06, 2.6061473074476354e-06, 1.0262879776106e-06]",54539.94321058785,20000.0,20000.0,61756.396659706385,55000.0,55000.0,28.702820904894658,1.5454351346865434,False,True,True,0.004550444504152497,0.8882948550139458,14.26045664182903,14.436676979064941,True,1.0262879776106e-06,200,400,50,0.8831464619141715,nan,nan,0.9324364890595133,0.0238821,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,er,pareto,2.581360422321868e-05,5.195648901982484e-05,0.0014818465178577564
"[50.0, 150.0, 300.0, 600.0]","[0.0015815106726903999, 6.855408886656208e-06, 2.5389407180968612e-06, 1.0547141203017813e-06]",54123.90581723816,20000.0,20000.0,61508.13228636141,55000.0,55000.0,29.76067277124686,1.3501953535158484,False,True,True,0.004550444504152497,0.8913734877601552,14.533366687987765,14.422248125076294,True,1.0547141203017813e-06,200,400,50,0.8799471517888928,nan,nan,0.9560793374343595,0.02323245,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,er,pareto,2.597492342024134e-05,5.319009784614674e-05,0.0015460623923359976
"[50.0, 150.0, 300.0, 600.0]","[0.0010880230092728297, 5.859361909317554e-06, 2.2057730259574378e-06, 9.408940532016837e-07]",50084.988724095325,20000.0,20000.0,60546.78896330658,55000.0,55000.0,34.04131150538918,1.3193196878524498,False,True,True,0.004359794641269909,0.8987203965949941,17.03522567246552,14.29393196105957,True,9.408940532016837e-07,200,400,50,0.8272113118079397,nan,nan,0.8510813115176371,0.02330655,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,er,degree,1.6651886073182966e-05,3.32752880336473e-05,0.0011337040819389464
"[50.0, 150.0, 300.0, 600.0]","[0.0012236218779194843, 6.391929254609821e-06, 2.2440359705679833e-06, 9.199441111842099e-07]",49890.047885391774,20000.0,20000.0,60983.660014743415,55000.0,55000.0,32.0350986930213,1.398316659480559,False,True,True,0.004359794641269909,0.9013522304076488,16.570589993116357,14.295893907546997,True,9.199441111842099e-07,200,400,50,0.8180887777698215,nan,nan,0.8743409663018438,0.023018,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,er,degree,1.8602423834018496e-05,3.596314215123007e-05,0.0011918609669043883
"[50.0, 150.0, 300.0, 600.0]","[0.0011943991301945726, 5.813624563982707e-06, 2.0015894501723328e-06, 9.180934767057647e-07]",49329.43319435882,20000.0,20000.0,60415.595147805216,55000.0,55000.0,34.25764487940919,1.3313624756801636,False,True,True,0.004359794641269909,0.9094952661406281,16.98969586651695,14.294831991195679,True,9.180934767057647e-07,200,400,50,0.8165016511659882,nan,nan,0.8916233390217438,0.02232905,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,er,degree,1.788675277203091e-05,3.6066450472349984e-05,0.0012255160490200457
"[50.0, 150.0, 300.0, 600.0]","[0.0010257045336180923, 6.134086834677202e-06, 2.2717637004429873e-06, 9.578390946968361e-07]",50092.01253019187,20000.0,20000.0,60589.94022314406,55000.0,55000.0,36.923532140077796,1.3394966817188552,False,True,True,0.004359794641269909,0.9016232924538865,18.383274206797505,14.31856393814087,True,9.578390946968361e-07,200,400,50,0.8267381077735044,nan,nan,0.8289933921910301,0.02354965,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ba,uniform,1.456757977008956e-05,2.9259559194583354e-05,0.001075772999688098
"[50.0, 150.0, 300.0, 600.0]","[0.0011033197050889705, 6.472641206874145e-06, 2.208747401961074e-06, 9.212534748560236e-07]",48440.12486093414,20000.0,20000.0,60815.694686902854,55000.0,55000.0,36.61708917112011,1.406342236621777,False,True,True,0.004359794641269909,0.9114756711139165,19.392170061636,14.29453730583191,True,9.212534748560236e-07,200,400,50,0.7965069725885432,nan,nan,0.8440453105857022,0.02292905,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ba,uniform,1.4725599513045258e-05,2.780547967316512e-05,0.001078417180934762
"[50.0, 150.0, 300.0, 600.0]","[0.0011728973894072597, 5.791364944358868e-06, 1.960085409348451e-06, 8.916917623123277e-07]",49469.540327912764,20000.0,20000.0,60527.2634085716,55000.0,55000.0,44.5468135616974,1.3496432085629135,False,True,True,0.004359794641269909,0.9200506748799168,21.831009960182303,14.295007944107056,True,8.916917623123277e-07,200,400,50,0.8173100441363604,nan,nan,0.8774613768892661,0.0217821,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ba,uniform,1.3359717509817273e-05,2.7260893849264885e-05,0.0011902656902935485
"[50.0, 150.0, 300.0, 600.0]","[0.0014971880093910454, 1.055002020996987e-05, 2.7239214498395508e-06, 1.1465070432404275e-06]",58931.73253725149,20000.0,20000.0,62033.515151535365,55000.0,55000.0,26.454006181951474,1.6009643198819514,False,True,True,0.004749431312512541,0.8670514128159563,12.408219907843932,14.295286893844604,True,1.1465070432404275e-06,200,400,50,0.9499982774358854,nan,nan,0.9194361419700801,0.02419715,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ba,mmpp2,2.9425301888273152e-05,6.273398794021092e-05,0.0015568342361163326
